CMDLINE C:\Users\Dhuns\AppData\Local\Programs\Python\Python312\python.exe src\app.py
MEM 1.714844 1709361657.4036
MEM 17.777344 1709361657.5055
MEM 27.218750 1709361657.6062
MEM 33.761719 1709361657.7083
MEM 38.640625 1709361657.8088
MEM 42.871094 1709361657.9096
MEM 49.382812 1709361658.0107
MEM 52.273438 1709361658.1112
MEM 57.644531 1709361658.2119
MEM 61.648438 1709361658.3124
MEM 66.066406 1709361658.4130
MEM 68.273438 1709361658.5143
MEM 73.917969 1709361658.6147
MEM 82.187500 1709361658.7152
MEM 91.246094 1709361658.8157
MEM 104.699219 1709361658.9159
MEM 112.535156 1709361659.0161
MEM 119.730469 1709361659.1167
MEM 127.730469 1709361659.2171
MEM 132.789062 1709361659.3179
MEM 133.582031 1709361659.4182
MEM 136.929688 1709361659.5185
MEM 144.335938 1709361659.6189
MEM 148.039062 1709361659.7193
MEM 153.164062 1709361659.8218
MEM 157.988281 1709361659.9236
MEM 162.082031 1709361660.0257
MEM 168.253906 1709361660.1266
MEM 230.917969 1709361660.2270
MEM 496.167969 1709361660.3447
MEM 870.769531 1709361660.4564
MEM 1177.671875 1709361660.5577
MEM 1369.437500 1709361660.6581
MEM 1427.347656 1709361660.7585
MEM 1444.847656 1709361660.8592
MEM 1459.582031 1709361660.9600
MEM 1477.140625 1709361661.0603
MEM 1497.109375 1709361661.1606
MEM 1510.769531 1709361661.2613
MEM 1524.847656 1709361661.3616
MEM 1538.992188 1709361661.4621
MEM 1553.972656 1709361661.5623
MEM 1570.367188 1709361661.6626
MEM 1612.535156 1709361661.7629
MEM 1700.046875 1709361661.8651
MEM 1727.386719 1709361661.9655
MEM 1907.656250 1709361662.0661
MEM 1945.527344 1709361662.1667
MEM 1965.902344 1709361662.2671
MEM 1984.203125 1709361662.3676
MEM 2004.140625 1709361662.4688
MEM 2024.640625 1709361662.5707
MEM 2034.558594 1709361662.6774
MEM 2052.871094 1709361662.7779
MEM 2071.308594 1709361662.8787
MEM 2086.058594 1709361662.9792
MEM 2099.746094 1709361663.0799
MEM 2113.246094 1709361663.1804
MEM 1344.195312 1709361663.2839
MEM 1416.550781 1709361663.3846
MEM 1457.757812 1709361663.4850
MEM 1471.937500 1709361663.5856
MEM 1478.515625 1709361663.6860
MEM 1501.144531 1709361663.7865
MEM 1512.773438 1709361663.9023
MEM 1602.851562 1709361664.0034
MEM 1623.468750 1709361664.1039
MEM 1634.562500 1709361664.2089
MEM 1645.277344 1709361664.3124
MEM 1671.011719 1709361664.4127
MEM 1683.667969 1709361664.5130
MEM 1667.058594 1709361664.6137
MEM 1554.347656 1709361664.7140
MEM 1549.265625 1709361664.8151
MEM 1550.070312 1709361664.9161
MEM 1550.070312 1709361665.0291
MEM 1550.070312 1709361665.1330
MEM 1550.070312 1709361665.2337
MEM 1550.070312 1709361665.3341
MEM 1550.070312 1709361665.4358
MEM 1550.070312 1709361665.5361
MEM 1550.070312 1709361665.6368
MEM 1550.070312 1709361665.7373
MEM 1550.070312 1709361665.8380
MEM 1550.070312 1709361665.9387
MEM 1550.070312 1709361666.0389
MEM 1550.070312 1709361666.1396
MEM 1550.070312 1709361666.2410
MEM 1550.070312 1709361666.3418
MEM 1550.070312 1709361666.4423
MEM 1550.070312 1709361666.5428
MEM 1550.070312 1709361666.6432
MEM 1550.070312 1709361666.7437
MEM 1550.070312 1709361666.8443
MEM 1550.070312 1709361666.9449
MEM 1550.070312 1709361667.0454
